t,x,u
0.00000000,1.83464102,0.96539444
0.00000000,1.84077695,0.96377607
0.00000000,1.84691287,0.96212140
0.00000000,1.85304879,0.96043052
0.00000000,1.85918471,0.95870347
0.00000000,1.86532064,0.95694034
0.00000000,1.87145656,0.95514117
0.00000000,1.87759248,0.95330604
0.00000000,1.88372841,0.95143502
0.00000000,1.88986433,0.94952818
0.00000000,1.89600025,0.94758559
0.00000000,1.90213618,0.94560733
0.00000000,1.90827210,0.94359346
0.00000000,1.91440802,0.94154407
0.00000000,1.92054395,0.93945922
0.00000000,1.92667987,0.93733901
0.00000000,1.93281579,0.93518351
0.00000000,1.93895172,0.93299280
0.00000000,1.94508764,0.93076696
0.00000000,1.95122356,0.92850608
0.00000000,1.95735949,0.92621024
0.00000000,1.96349541,0.92387953
0.00000000,1.96963133,0.92151404
0.00000000,1.97576725,0.91911385
0.00000000,1.98190318,0.91667906
0.00000000,1.98803910,0.91420976
0.00000000,1.99417502,0.91170603
0.00000000,2.00031095,0.90916798
0.00000000,2.00644687,0.90659570
0.00000000,2.01258279,0.90398929
0.00000000,2.01871872,0.90134885
0.00000000,2.02485464,0.89867447
0.00000000,2.03099056,0.89596625
0.00000000,2.03712649,0.89322430
0.00000000,2.04326241,0.89044872
0.00000000,2.04939833,0.88763962
0.00000000,2.05553426,0.88479710
0.00000000,2.06167018,0.88192126
0.00000000,2.06780610,0.87901223
0.00000000,2.07394203,0.87607009
0.00000000,2.08007795,0.87309498
0.00000000,2.08621387,0.87008699
0.00000000,2.09234979,0.86704625
0.00000000,2.09848572,0.86397286
0.00000000,2.10462164,0.86086694
0.00000000,2.11075756,0.85772861
0.00000000,2.11689349,0.85455799
0.00000000,2.12302941,0.85135519
0.00000000,2.12916533,0.84812034
0.00000000,2.13530126,0.84485357
0.00000000,2.14143718,0.84155498
0.00000000,2.14757310,0.83822471
0.00000000,2.15370903,0.83486287
0.00000000,2.15984495,0.83146961
0.00000000,2.16598087,0.82804505
0.00000000,2.17211680,0.82458930
0.00000000,2.17825272,0.82110251
0.00000000,2.18438864,0.81758481
0.00000000,2.19052457,0.81403633
0.00000000,2.19666049,0.81045720
0.00000000,2.20279641,0.80684755
0.00000000,2.20893233,0.80320753
0.00000000,2.21506826,0.79953727
0.00000000,2.22120418,0.79583690
0.00000000,2.22734010,0.79210658
0.00000000,2.23347603,0.78834643
0.00000000,2.23961195,0.78455660
0.00000000,2.24574787,0.78073723
0.00000000,2.25188380,0.77688847
0.00000000,2.25801972,0.77301045
0.00000000,2.26415564,0.76910334
0.00000000,2.27029157,0.76516727
0.00000000,2.27642749,0.76120239
0.00000000,2.28256341,0.75720885
0.00000000,2.28869934,0.75318680
0.00000000,2.29483526,0.74913639
0.00000000,2.30097118,0.74505779
0.00000000,2.30710710,0.74095113
0.00000000,2.31324303,0.73681657
0.00000000,2.31937895,0.73265427
0.00000000,2.32551487,0.72846439
0.00000000,2.33165080,0.72424708
0.00000000,2.33778672,0.72000251
0.00000000,2.34392264,0.71573083
